date,pref,solar_kw,wind_kw
2016-12-31,長崎県,689344.2760000001,109569.6
2016-12-31,長野県,983950.0,0.0
2016-12-31,青森県,402195.1,385908.7
2016-12-31,静岡県,1432535.0,152819.8
2016-12-31,香川県,550489.359,0.0
2016-12-31,高知県,307224.593,36150.0
2016-12-31,鳥取県,203161.339,59119.6
2016-12-31,鹿児島県,1294846.4559999998,260037.5
2017-03-31,三重県,1280226.0999999999,180000.0
2017-03-31,京都府,405966.4,2252.5
2017-03-31,佐賀県,507046.218,42650.0
2017-03-31,兵庫県,1743640.5659999999,55100.0
2017-03-31,北海道,1127205.317,353921.69999999995
2017-03-31,千葉県,1866950.4,67011.5
2017-03-31,和歌山県,426593.79999999993,94660.0
2017-03-31,埼玉県,1222724.9,0.0
2017-03-31,大分県,867207.172,11602.8
2017-03-31,大阪府,799620.7,0.0
2017-03-31,奈良県,392981.0,0.0
2017-03-31,宮城県,729666.6,7531.6
2017-03-31,宮崎県,831671.6610000001,16000.0
2017-03-31,富山県,234120.836,3300.0
2017-03-31,山口県,715320.9460000001,113450.0
2017-03-31,山形県,187968.30000000002,45266.9
2017-03-31,山梨県,498625.0,0.0
2017-03-31,岐阜県,920194.9099999999,9203.0
2017-03-31,岡山県,1065207.013,0.0
2017-03-31,岩手県,415357.9,67125.1
2017-03-31,島根県,261988.02399999998,176687.2
2017-03-31,広島県,1004907.6979999999,0.0
2017-03-31,徳島県,489712.50299999997,19520.1
2017-03-31,愛媛県,626694.0040000001,96226.6
2017-03-31,愛知県,1961778.4000000001,65988.8
2017-03-31,新潟県,247735.2,27708.2
2017-03-31,東京都,467022.1,3650.0
2017-03-31,栃木県,1567655.7,0.0
2017-03-31,沖縄県,336966.508,17618.0
2017-03-31,滋賀県,607360.1000000001,1500.0
2017-03-31,熊本県,1049227.289,30210.4
2017-03-31,石川県,307080.73199999996,124526.0
2017-03-31,神奈川県,630188.7000000001,6270.0
2017-03-31,福井県,168044.59000000003,28000.0
2017-03-31,福岡県,1756840.974,24870.7
2017-03-31,福島県,891229.1,159824.3
2017-03-31,秋田県,169245.3,352627.0
2017-03-31,群馬県,1304277.1,343.0
2017-03-31,茨城県,2180000.1100000003,104990.0
2017-03-31,長崎県,707508.0760000001,109383.8
2017-03-31,長野県,1013551.5000000001,0.0
2017-03-31,青森県,482283.0,386269.4
2017-03-31,静岡県,1520107.5999999999,152829.6
2017-03-31,香川県,580714.8189999999,0.0
2017-03-31,高知県,338367.00700000004,35900.0
2017-03-31,鳥取県,213226.439,59119.6
2017-03-31,鹿児島県,1348628.456,260056.7
2017-06-30,三重県,1376634.0999999996,180019.8
2017-06-30,京都府,417259.80000000005,2252.5
2017-06-30,佐賀県,520139.7119999999,40709.1
2017-06-30,兵庫県,1847727.1660000002,55100.0
2017-06-30,北海道,1196341.203,353980.5
2017-06-30,千葉県,1976455.5000000005,67031.0
2017-06-30,和歌山県,450232.7,94660.0
2017-06-30,埼玉県,1272238.600000001,0.0
2017-06-30,大分県,888845.5239999996,11230.4
2017-06-30,大阪府,818504.8,0.0
2017-06-30,奈良県,410509.2000000001,0.0
2017-06-30,宮城県,763842.2000000001,7551.4
2017-06-30,宮崎県,877479.3109999995,16000.0
2017-06-30,富山県,240780.67099999997,3300.0
2017-06-30,山口県,731576.107,113450.0
2017-06-30,山形県,190228.69999999998,45257.1
