date,solar_kw,wind_kw,area
2015-02-28,1459851.4933333334,838823.1111111111,tohoku
2015-03-31,1541285.6,870605.0,tohoku
2015-04-30,1615743.3252747254,870623.0,tohoku
2015-05-31,1692682.9747252748,870641.6,tohoku
2015-06-30,1767140.7,870659.6,tohoku
2015-07-31,1829797.8663043478,872015.1086956522,tohoku
2015-08-31,1892455.0326086956,873370.6173913043,tohoku
2015-09-30,1953091.0,874682.4,tohoku
2015-10-31,2074134.4423913043,897106.4858695653,tohoku
2015-11-30,2191273.257608696,918807.2141304348,tohoku
2015-12-31,2312316.7,941231.3,tohoku
2016-01-31,2380987.5934065934,942626.3681318682,tohoku
2016-02-29,2445228.1065934068,943931.4318681319,tohoku
2016-03-31,2513899.0,945326.5,tohoku
2016-04-30,2569000.395604396,951776.1373626373,tohoku
2016-05-31,2625938.504395604,958440.7626373626,tohoku
2016-06-30,2681039.9,964890.3999999999,tohoku
2016-07-31,2725099.778804348,974282.641847826,tohoku
2016-08-31,2769159.6576086953,983674.8836956521,tohoku
2016-09-30,2811798.25,992764.1499999999,tohoku
2016-10-31,2855858.1288043475,1002156.391847826,tohoku
2016-11-30,2898496.7211956517,1011245.6581521739,tohoku
2016-12-31,2942556.5999999996,1020637.8999999999,tohoku
2017-01-31,3004876.5199999996,1029495.151111111,tohoku
2017-02-28,3061165.48,1037495.2488888889,tohoku
2017-03-31,3123485.4,1046352.5,tohoku
2017-04-30,3187952.531868132,1047856.3901098901,tohoku
2017-05-31,3254568.5681318683,1049410.40989011,tohoku
2017-06-30,3319035.7,1050914.3,tohoku
2017-07-31,3484896.145652174,1055310.1336956522,tohoku
2017-08-31,3650756.591304348,1059705.9673913044,tohoku
2017-09-30,3811266.7,1063960.0,tohoku
2017-10-31,3813627.552173913,1068870.5010869566,tohoku
2017-11-30,3815912.2478260873,1073622.5989130435,tohoku
2017-12-31,3818273.1,1078533.1,tohoku
2018-01-31,3878053.2933333335,1101838.2455555557,tohoku
2018-02-28,3932048.3066666666,1122888.0544444446,tohoku
2018-03-31,3991828.5,1146193.2000000002,tohoku
2018-04-30,4047413.983516483,1160705.452747253,tohoku
2018-05-31,4104852.3164835162,1175701.4472527474,tohoku
2018-06-30,4160437.7999999993,1190213.7000000002,tohoku
2018-07-31,4245637.155434783,1191458.8554347828,tohoku
2018-08-31,4330836.510869565,1192704.0108695652,tohoku
2018-09-30,4413287.500000001,1193909.0,tohoku
2018-10-31,4516857.388043479,1196923.237826087,tohoku
2018-11-30,4617086.311956523,1199840.242173913,tohoku
2018-12-31,4720656.200000001,1202854.48,tohoku
2019-01-31,4782684.375555556,1210072.8368888889,tohoku
2019-02-28,4838709.824444445,1216592.6431111111,tohoku
2019-03-31,4900738.0,1223811.0,tohoku
2019-04-30,4940441.803278688,1236196.4262295081,tohoku
2019-05-31,4981469.066666667,1248994.7,tohoku
2019-06-30,5021172.869945356,1261380.1262295083,tohoku
2019-07-31,5062200.133333334,1274178.4000000001,tohoku
2019-08-31,5103227.396721313,1286976.673770492,tohoku
2019-09-30,5142931.200000001,1299362.1,tohoku
2019-10-31,5227808.088043479,1321728.1282608695,tohoku
2019-11-30,5309947.011956522,1343372.6717391305,tohoku
2019-12-31,5394823.9,1365738.7,tohoku
2020-01-31,5510980.491208792,1409645.2945054944,tohoku
2020-02-29,5619643.10879121,1450719.2054945054,tohoku
2020-03-31,5735799.700000001,1494625.7999999998,tohoku
2020-04-30,5835705.403296704,1558774.9648351648,tohoku
2020-05-31,5938941.296703297,1625062.435164835,tohoku
2020-06-30,6038847.0,1689211.6,tohoku
2020-07-31,6131397.904347827,1692181.433695652,tohoku
2020-08-31,6223948.8086956525,1695151.2673913043,tohoku
2020-09-30,6313514.200000001,1698025.2999999998,tohoku
2020-10-31,6427597.670652175,1712227.1076086955,tohoku
2020-11-30,6538001.029347827,1725970.7923913044,tohoku
2020-12-31,6652084.500000001,1740172.6,tohoku
2021-01-31,6703669.698895029,1745002.896685083,tohoku
2021-02-28,6750262.781767957,1749365.7453038674,tohoku
2021-03-31,6801847.980662985,1754196.0419889502,tohoku
2021-04-30,6851769.140883979,1758870.5226519336,tohoku
2021-05-31,6903354.339779007,1763700.8193370164,tohoku
2021-06-30,6953275.500000002,1768375.2999999998,tohoku
2021-07-31,6977521.543478263,1768413.3423913042,tohoku
2021-08-31,7001767.586956523,1768451.3847826086,tohoku
2021-09-30,7025231.500000001,1768488.2,tohoku
2021-10-31,7120328.515217393,1795905.6782608696,tohoku
2021-11-30,7212357.8847826095,1822438.7217391303,tohoku
2021-12-31,7307454.900000001,1849856.2,tohoku
2022-01-31,7386146.264444446,1861739.292222222,tohoku
2022-02-28,7457222.335555557,1872472.4077777779,tohoku
2022-03-31,7535913.700000002,1884355.5,tohoku
2022-04-30,7594674.1395604415,1902348.576923077,tohoku
2022-05-31,7655393.260439564,1920941.423076923,tohoku
2022-06-30,7714153.700000003,1938934.5,tohoku
2022-07-31,7799623.0923913075,1942281.8934782608,tohoku
2022-08-31,7885092.484782612,1945629.2869565217,tohoku
2022-09-30,7967804.800000004,1948868.7,tohoku
2022-10-31,8022220.211956525,1909954.6695652173,tohoku
2022-11-30,8074880.288043481,1872295.9304347825,tohoku
2022-12-31,8129295.700000003,1833381.9,tohoku
2023-01-31,8167083.563333336,1927516.982222222,tohoku
2023-02-28,8201214.536666669,2012542.2177777777,tohoku
2023-03-31,8239002.400000002,2106677.3,tohoku
2023-04-30,8316158.70769231,2164834.6076923073,tohoku
2023-05-31,8395886.892307695,2224930.4923076923,tohoku
2023-06-30,8473043.200000003,2283087.8,tohoku
2023-07-31,8511342.183695655,2283211.7326086955,tohoku
2023-08-31,8549641.167391308,2283335.665217391,tohoku
2023-09-30,8586704.700000003,2283455.6,tohoku
2023-10-31,8628319.167391306,2300773.0760869565,tohoku
2023-11-30,8668591.232608698,2317531.9239130435,tohoku
2023-12-31,8710205.700000001,2334849.4,tohoku
2024-01-31,8751642.71868132,2370757.347252747,tohoku
2024-02-29,8790406.381318683,2404348.652747253,tohoku
2024-03-31,8831843.400000002,2440256.6,tohoku
2024-04-30,8843842.213186815,2460220.70989011,tohoku
2024-05-31,8856240.986813188,2480850.29010989,tohoku
2024-06-30,8868239.8,2500814.4,tohoku
2024-07-31,8912177.313043479,2514999.9326086957,tohoku
2024-08-31,8956114.826086957,2529185.465217391,tohoku
2024-09-30,8998635.0,2542913.4,tohoku
2024-10-31,9050097.392391305,2542947.4326086957,tohoku
2024-11-30,9099899.707608696,2542980.367391304,tohoku
2024-12-31,9151362.100000001,2543014.4,tohoku
2025-01-31,9291611.611111112,2561971.4166666665,tohoku
2025-02-28,9418288.588888891,2579093.8833333333,tohoku
2025-03-31,9558538.100000001,2598050.9,tohoku
2025-04-30,9575947.792307694,2651145.526373626,tohoku
2025-05-31,9593937.80769231,2706009.973626374,tohoku
2025-06-30,9611347.500000002,2759104.6,tohoku
2025-07-31,9648247.136956524,2801598.2880434785,tohoku
2025-08-31,9685146.773913044,2844091.9760869564,tohoku
2025-09-30,9720856.100000001,2885214.9,tohoku
