file,category,area,duration,month,coef_pct
2024_chouseikeisu,純揚水・蓄電池,東北,17h,10月,99.9
2024_chouseikeisu,純揚水・蓄電池,東北,17h,11月,96.8
2024_chouseikeisu,純揚水・蓄電池,東北,17h,12月,99.3
2024_chouseikeisu,純揚水・蓄電池,東北,17h,1月,99.9
2024_chouseikeisu,純揚水・蓄電池,東北,17h,2月,98.8
2024_chouseikeisu,純揚水・蓄電池,東北,17h,3月,94.0
2024_chouseikeisu,純揚水・蓄電池,東北,16h,4月,94.5
2024_chouseikeisu,純揚水・蓄電池,東北,16h,5月,90.2
2024_chouseikeisu,純揚水・蓄電池,東北,16h,6月,99.2
2024_chouseikeisu,純揚水・蓄電池,東北,16h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,16h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,16h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,16h,10月,99.9
2024_chouseikeisu,純揚水・蓄電池,東北,16h,11月,96.8
2024_chouseikeisu,純揚水・蓄電池,東北,16h,12月,99.3
2024_chouseikeisu,純揚水・蓄電池,東北,16h,1月,99.9
2024_chouseikeisu,純揚水・蓄電池,東北,16h,2月,98.8
2024_chouseikeisu,純揚水・蓄電池,東北,16h,3月,94.0
2024_chouseikeisu,純揚水・蓄電池,東北,15h,4月,94.1
2024_chouseikeisu,純揚水・蓄電池,東北,15h,5月,90.2
2024_chouseikeisu,純揚水・蓄電池,東北,15h,6月,99.2
2024_chouseikeisu,純揚水・蓄電池,東北,15h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,15h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,15h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,15h,10月,99.9
2024_chouseikeisu,純揚水・蓄電池,東北,15h,11月,96.8
2024_chouseikeisu,純揚水・蓄電池,東北,15h,12月,99.3
2024_chouseikeisu,純揚水・蓄電池,東北,15h,1月,99.9
2024_chouseikeisu,純揚水・蓄電池,東北,15h,2月,98.8
2024_chouseikeisu,純揚水・蓄電池,東北,15h,3月,94.0
2024_chouseikeisu,純揚水・蓄電池,東北,14h,4月,93.6
2024_chouseikeisu,純揚水・蓄電池,東北,14h,5月,90.2
2024_chouseikeisu,純揚水・蓄電池,東北,14h,6月,99.2
2024_chouseikeisu,純揚水・蓄電池,東北,14h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,14h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,14h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,14h,10月,99.9
2024_chouseikeisu,純揚水・蓄電池,東北,14h,11月,96.8
2024_chouseikeisu,純揚水・蓄電池,東北,14h,12月,99.3
2024_chouseikeisu,純揚水・蓄電池,東北,14h,1月,99.9
2024_chouseikeisu,純揚水・蓄電池,東北,14h,2月,98.8
2024_chouseikeisu,純揚水・蓄電池,東北,14h,3月,94.0
2024_chouseikeisu,純揚水・蓄電池,東北,13h,4月,93.0
2024_chouseikeisu,純揚水・蓄電池,東北,13h,5月,90.2
2024_chouseikeisu,純揚水・蓄電池,東北,13h,6月,99.2
2024_chouseikeisu,純揚水・蓄電池,東北,13h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,13h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,13h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,13h,10月,99.9
2024_chouseikeisu,純揚水・蓄電池,東北,13h,11月,96.8
2024_chouseikeisu,純揚水・蓄電池,東北,13h,12月,99.3
2024_chouseikeisu,純揚水・蓄電池,東北,13h,1月,99.8
2024_chouseikeisu,純揚水・蓄電池,東北,13h,2月,98.6
2024_chouseikeisu,純揚水・蓄電池,東北,13h,3月,94.0
2024_chouseikeisu,純揚水・蓄電池,東北,12h,4月,92.2
2024_chouseikeisu,純揚水・蓄電池,東北,12h,5月,90.2
2024_chouseikeisu,純揚水・蓄電池,東北,12h,6月,99.2
2024_chouseikeisu,純揚水・蓄電池,東北,12h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,12h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,12h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,12h,10月,99.9
2024_chouseikeisu,純揚水・蓄電池,東北,12h,11月,96.8
2024_chouseikeisu,純揚水・蓄電池,東北,12h,12月,99.2
2024_chouseikeisu,純揚水・蓄電池,東北,12h,1月,99.4
2024_chouseikeisu,純揚水・蓄電池,東北,12h,2月,98.0
2024_chouseikeisu,純揚水・蓄電池,東北,12h,3月,94.0
